filename,class_name,wave_min,wave_max,wave_mean,wave_var,amp_min,amp_max,amp_mean,amp_var,spectral_centroid_min,spectral_centroid_max,spectral_centroid_mean,spectral_centroid_var,spectral_rolloff_min,spectral_rolloff_max,spectral_rolloff_mean,spectral_rolloff_var,spectral_bandwidth_min,spectral_bandwidth_max,spectral_bandwidth_mean,spectral_bandwidth_var,mel_frequency_min,mel_frequency_max,mel_frequency_mean,mel_frequency_var,chroma_min,chroma_max,chroma_mean,chroma_var,zero_crossing_rate
Sylvia-communis-592788.wav,sylvia-communis,-3.2689206e-06,0.14353943,-0.13899231,0.011297671,9.271420430898895e-06,0.0009599464641209437,3.9455407189971175e-11,2.2347600420606373e-05,3678.51488233715,6760.737755117525,1673.8372006295324,832.4060928199088,5817.176496478874,12375.0,1500.0,1943.0428729985556,5125.3378663640015,8503.75628621963,1590.2848229992678,1329.1628452830332,-12.60604,143.06427,-535.4724,110.47356,0.53004843,1.0,0.00027238321,0.3197994,16
Pyrrhula-pyrrhula-342089.wav,pyrrhula-pyrrhula,4.0927014e-07,0.03475952,-0.03627014,0.0042907363,4.4635375821241495e-06,0.0006945028516826945,6.590575318292172e-11,2.0816219022415315e-05,2869.414010680599,7536.844368435777,0.0,652.1023040973586,2762.547446196934,5900.09765625,21.533203125,786.1402721997881,4239.030561023297,5980.102449807477,10.15084947028448,1142.3186906159617,-16.315643,153.48535,-911.4323,127.18782,0.61626935,1.0,0.0,0.28191695,1
Periparus-ater-499117.wav,periparus-ater,-4.335394e-05,0.26612854,-0.26635742,0.020399133,1.4842182490797135e-05,0.0018573671437072097,6.314033011744372e-11,3.187019556520444e-05,3367.8491942443907,7149.891848373745,0.0,555.5205686421796,7220.440666868586,8979.345703125,21.533203125,882.4672167523689,5133.182141919632,6593.003740690425,10.15084947028448,936.9918370263089,-7.590082,175.05853,-733.34827,79.873535,0.47915664,1.0,0.0,0.29007652,16
Phylloscopus-collybita-333139.wav,phylloscopus-collybita,0.00010367432,0.36212158,-0.3607788,0.020618808,1.5312933570509268e-05,0.00046720627178147977,5.4339435044759215e-11,3.308143931778254e-05,5491.060465499835,6757.451035621867,4503.038874818074,324.090460534293,9361.64619140625,12833.7890625,21.533203125,1994.6690254137607,5772.1824299607615,7661.502592312172,1461.75037297895,1310.1996958845727,-14.075481,114.79683,-717.2895,86.56827,0.5071173,1.0,0.00015052283,0.302549,16
Parus-major-538937.wav,parus-major,2.3334707e-08,0.28858948,-0.27120972,0.022321133,1.643915432462513e-05,0.0005937428086441939,1.4215628818929677e-11,3.456881160405159e-05,7582.073800364639,10949.987203916156,3612.5273601849735,991.6050276264751,12674.262561159203,15937.5,23.4375,3013.8687508919247,6525.19893121041,8313.380502304004,2425.9462497780496,1178.1655187817128,-19.640093,123.17897,-705.1231,93.60711,0.4410341,1.0,8.1090846e-05,0.31514677,32
Pyrrhula-pyrrhula-451219.wav,pyrrhula-pyrrhula,0.000207728,0.9999695,-1.0,0.13856578,0.00012228835366509197,0.012143446511245954,4.696971413603601e-10,0.00047694485598070475,2016.1746043286073,6579.2452288242785,680.8728887296038,569.0722691897283,3657.339758557149,7665.8203125,21.533203125,1207.4865672205497,3651.3060696323873,5915.040991077239,1016.2131821899944,939.1894607290294,-5.061026,249.08035,-479.30643,68.088104,0.5397782,1.0,0.004964384,0.27008975,2
Loxia-curvirostra-72293.wav,loxia-curvirostra,-0.0020679885,0.095581055,-0.08328247,0.006098433,3.819592733742475e-06,0.004135977601754356,1.179209887987776e-10,7.981576996269105e-06,4179.086000849707,6904.9983194538945,1779.5651630668945,491.2057780308872,8691.821761059842,12790.72265625,21.533203125,1522.46219230966,5230.8041615956845,7735.600715066039,1958.5098090996419,825.1455032795966,-13.864835,153.45181,-716.562,92.696884,0.53768873,1.0,0.0009295615,0.28169376,7
Parus-major-434811.wav,parus-major,9.867133e-06,0.4256897,-0.4205475,0.040546898,1.3766346477049643e-05,0.0012071916775327277,1.5820846929789328e-11,4.835874947285904e-05,3697.812157290736,8038.53728419711,1631.1032155532941,864.7815321016753,5275.342344641803,12876.85546875,2627.05078125,792.3093889859323,4005.9797124036163,7198.176188992345,1207.0788239477185,1143.2019061463272,-18.242897,169.11508,-519.07764,106.117584,0.40820968,1.0,7.798724e-06,0.32821319,0
Phylloscopus-collybita-519428.wav,phylloscopus-collybita,-2.7621709e-06,0.3800354,-0.39207458,0.01829932,1.041014860517808e-05,0.0016142868812597038,2.7337478813754845e-11,2.606456686551173e-05,2340.291207973254,6334.241264583723,1348.6626916569644,768.5447459788526,3175.8094709512343,7734.375,984.375,1246.9425809269937,4708.744753207582,7347.725205695636,1389.3381946972154,1316.0530120346027,-11.46809,160.38603,-524.5261,113.21803,0.6533525,1.0,6.87002e-05,0.25909403,15
Aegolius-funereus-512538.wav,aegolius-funereus,-9.697869e-07,0.22442627,-0.21029663,0.023354912,1.9492640411290404e-06,0.0015113962644609912,5.71270361480872e-12,2.3367464324925102e-05,4959.1951093295265,7075.897424099263,1014.8973501858385,1851.5126922712905,6568.172655141272,9890.625,726.5625,2926.7361231977598,5522.441554372023,7485.539504184042,1396.7903560268512,1330.8623320734391,-25.872292,128.38733,-546.005,115.60441,0.33436865,1.0,1.8003292e-06,0.3313888,13
